what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.8",1485180628338
java.vendor,sysinfo,,,"Oracle Corporation",1485180628338
java.version,sysinfo,,,"1.8.0_121",1485180628338
java.vm.info,sysinfo,,,"mixed mode",1485180628338
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1485180628338
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1485180628338
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1485180628338
java.vm.specification.version,sysinfo,,,"1.8",1485180628338
java.vm.vendor,sysinfo,,,"Oracle Corporation",1485180628338
java.vm.version,sysinfo,,,"25.121-b13",1485180628338
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1485180628342
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1485180628353
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1485180628588
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1485180628765
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1485180628774
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1485180628777
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1485180628783
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1485180628881
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1485180629135
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1485180629145
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1485180629146
